Date,Volume
2020-07-17,139950000
2020-07-20,256821000
2020-07-21,241608000
2020-07-22,212416500
2020-07-23,364927500
2020-07-24,290949000
2020-07-27,240730500
2020-07-28,237130500
2020-07-29,141403500
2020-07-30,114315000
2020-07-31,183123000
2020-08-03,132139500
2020-08-04,126225000
2020-08-05,74217000
2020-08-06,89884500
2020-08-07,133446000
2020-08-10,112834500
2020-08-11,129387000
2020-08-12,327441000
2020-08-13,306379500
2020-08-14,188664000
2020-08-17,303634500
2020-08-18,247117500
2020-08-19,183079500
2020-08-20,309177000
2020-08-21,322344000
2020-08-24,300954000
2020-08-25,159883500
2020-08-26,213591000
2020-08-27,355395000
2020-08-28,301218000
2020-08-31,355123200
2020-09-01,269523300
2020-09-02,288528300
2020-09-03,262788300
2020-09-04,330965700
2020-09-08,346397100
2020-09-09,238397400
2020-09-10,254791800
2020-09-11,182152500
2020-09-14,249061800
2020-09-15,291894600
2020-09-16,216837900
2020-09-17,230337600
2020-09-18,259220400
2020-09-21,328430400
2020-09-22,238742400
2020-09-23,285222600
2020-09-24,289683300
2020-09-25,201625500
2020-09-28,149158800
2020-09-29,150657900
2020-09-30,144436800
2020-10-01,152224500
2020-10-02,214290000
2020-10-05,134168400
2020-10-06,147438900
2020-10-07,129383100
2020-10-08,121263300
2020-10-09,86777100
2020-10-12,116373300
2020-10-13,103391100
2020-10-14,143639100
2020-10-15,107017200
2020-10-16,98327700
2020-10-19,108863400
2020-10-20,94968900
2020-10-21,97111500
2020-10-22,119979600
2020-10-23,101151000
2020-10-26,84717600
2020-10-27,68059500
2020-10-28,76354200
2020-10-29,67965900
2020-10-30,127533900
2020-11-02,87063300
2020-11-03,103055100
2020-11-04,96429300
2020-11-05,85243500
2020-11-06,65118000
2020-11-09,104499000
2020-11-10,90852600
2020-11-11,52073100
2020-11-12,59565300
2020-11-13,59313300
2020-11-16,80515800
2020-11-17,183564900
2020-11-18,234132000
2020-11-19,187425900
2020-11-20,98735700
2020-11-23,150780900
2020-11-24,160945500
2020-11-25,146790600
2020-11-27,112683300
2020-11-30,189009300
2020-12-01,120310500
2020-12-02,143327100
2020-12-03,127656000
2020-12-04,88203900
2020-12-07,168929100
2020-12-08,192795000
2020-12-09,213873600
2020-12-10,201249600
2020-12-11,139425000
2020-12-14,156121800
2020-12-15,135214500
2020-12-16,126287400
2020-12-17,168810300
2020-12-18,666378600
2020-12-21,174135900
2020-12-22,155148000
2020-12-23,99519000
2020-12-24,68596800
2020-12-28,96835800
2020-12-29,68732400
2020-12-30,128538000
2020-12-31,148949700
2021-01-04,145914600
2021-01-05,96735600
2021-01-06,134100000
2021-01-07,154496700
2021-01-08,225166500
2021-01-11,177904800
2021-01-12,138812100
2021-01-13,99937500
2021-01-14,93798900
2021-01-15,116332800
2021-01-19,76101000
2021-01-20,76997700
2021-01-21,61563300
2021-01-22,60199500
2021-01-25,123520200
2021-01-26,69394800
2021-01-27,82002000
2021-01-28,79134000
2021-01-29,104972400
2021-02-01,76174200
2021-02-02,73038600
2021-02-03,55030500
2021-02-04,47438100
2021-02-05,55699800
2021-02-08,60485100
2021-02-09,45473100
2021-02-10,108648300
2021-02-11,64868400
2021-02-12,71304900
2021-02-16,59406900
2021-02-17,77989500
2021-02-18,53871300
2021-02-19,56874900
2021-02-22,111809100
2021-02-23,199820700
2021-02-24,110301000
2021-02-25,117071700
2021-02-26,123267600
2021-03-01,81408600
2021-03-02,71196600
2021-03-03,90624000
2021-03-04,197758500
2021-03-05,268189500
2021-03-08,155361000
2021-03-09,202569900
2021-03-10,181817100
2021-03-11,108761700
2021-03-12,100751400
2021-03-15,88006800
2021-03-16,96587100
2021-03-17,121117500
2021-03-18,99674400
2021-03-19,128682000
2021-03-22,118536600
2021-03-23,91475700
2021-03-24,101385600
2021-03-25,117674700
2021-03-26,101558400
2021-03-29,85911000
2021-03-30,118297200
2021-03-31,100011900
2021-04-01,105895200
2021-04-05,125528400
2021-04-06,84815400
2021-04-07,78928200
2021-04-08,71772900
2021-04-09,64311300
2021-04-12,87407100
2021-04-13,133958400
2021-04-14,147052200
2021-04-15,83546700
2021-04-16,83938500
2021-04-19,119058600
2021-04-20,106827000
2021-04-21,93646500
2021-04-22,106770900
2021-04-23,85110000
2021-04-26,93115500
2021-04-27,88311000
2021-04-28,66813000
2021-04-29,86536200
2021-04-30,122276100
2021-05-03,81129300
2021-05-04,89217900
2021-05-05,65705700
2021-05-06,83353800
2021-05-07,70407600
2021-05-10,94177200
2021-05-11,139511700
2021-05-12,101470800
2021-05-13,132554700
2021-05-14,100112700
2021-05-17,97171200
2021-05-18,110491800
2021-05-19,118735200
2021-05-20,92463300
2021-05-21,78091800
2021-05-24,103674300
2021-05-25,84017700
2021-05-26,85917900
2021-05-27,79111800
2021-05-28,68211000
2021-06-01,54254700
2021-06-02,69908400
2021-06-03,90335700
2021-06-04,72110700
2021-06-07,67631100
2021-06-08,78160200
2021-06-09,49753800
2021-06-10,71758800
2021-06-11,48615900
2021-06-14,61272000
2021-06-15,53292300
2021-06-16,66432300
2021-06-17,68104200
2021-06-18,73682700
2021-06-21,74438100
2021-06-22,57476700
2021-06-23,93297600
2021-06-24,137947200
2021-06-25,97490100
2021-06-28,64884600
2021-06-29,52143900
2021-06-30,56774700
2021-07-01,55903500
2021-07-02,81163500
2021-07-06,69853500
2021-07-07,56376000
2021-07-08,68319900
2021-07-09,54421500
2021-07-12,77781000
2021-07-13,62898300
2021-07-14,64923600
2021-07-15,60628800
2021-07-16,49113000
2021-07-19,63891300
2021-07-20,46461300
2021-07-21,41859900
2021-07-22,45317100
2021-07-23,43814700
2021-07-26,76009800
2021-07-27,98439900
2021-07-28,48019800
2021-07-29,91183800
2021-07-30,88969200
2021-08-02,100847400
2021-08-03,64860900
2021-08-04,51007800
2021-08-05,38758800
2021-08-06,46869000
2021-08-09,44145900
2021-08-10,40296900
2021-08-11,29401800
2021-08-12,52377300
2021-08-13,50194500
2021-08-16,68032200
2021-08-17,71163900
2021-08-18,61048200
2021-08-19,42940500
2021-08-20,44525700
2021-08-23,60794700
2021-08-24,39249300
2021-08-25,37936800
2021-08-26,39642900
2021-08-27,41501400
2021-08-30,55812600
2021-08-31,62566200
2021-09-01,39612900
2021-09-02,38331900
2021-09-03,45738300
2021-09-07,60119400
2021-09-08,56379000
2021-09-09,42233100
2021-09-10,45552600
2021-09-13,68857500
2021-09-14,55574700
2021-09-15,46073100
2021-09-16,41770200
2021-09-17,84612600
2021-09-20,74273100
2021-09-21,48992100
2021-09-22,45378900
2021-09-23,35842500
2021-09-24,64119000
2021-09-27,84212100
2021-09-28,76144200
2021-09-29,62828700
2021-09-30,53868000
2021-10-01,51094200
2021-10-04,91449900
2021-10-05,55297800
2021-10-06,43898400
2021-10-07,57587400
2021-10-08,50215800
2021-10-11,42600900
2021-10-12,66060000
2021-10-13,42360300
2021-10-14,36741600
2021-10-15,56773800
2021-10-18,72621600
2021-10-19,52143300
2021-10-20,42096300
2021-10-21,94444500
2021-10-22,68642400
2021-10-25,188556300
2021-10-26,187245000
2021-10-27,115579500
2021-10-28,81639600
2021-10-29,89755200
2021-11-01,168146100
2021-11-02,128213400
2021-11-03,103885500
2021-11-04,76192200
2021-11-05,64886400
2021-11-08,100337100
2021-11-09,177317400
2021-11-10,128408100
2021-11-11,67189800
2021-11-12,76719300
2021-11-15,104326800
2021-11-16,79627200
2021-11-17,94336200
2021-11-18,62696700
2021-11-19,64926900
2021-11-22,99217500
2021-11-23,108515100
2021-11-24,67680600
2021-11-26,35042700
2021-11-29,58393500
2021-11-30,81276000
2021-12-01,68450400
2021-12-02,73114800
2021-12-03,92322000
2021-12-06,81663000
2021-12-07,56084700
2021-12-08,41906400
2021-12-09,59438400
2021-12-10,59664300
2021-12-13,78595500
2021-12-14,70806300
2021-12-15,75169200
2021-12-16,82771500
2021-12-17,100437300
2021-12-20,56480100
2021-12-21,71517900
2021-12-22,93634200
2021-12-23,92713200
2021-12-27,71145900
2021-12-28,60324000
2021-12-29,56154000
2021-12-30,47040900
2021-12-31,40733700
2022-01-03,103931400
2022-01-04,100248300
2022-01-05,80119800
2022-01-06,90336600
2022-01-07,84164700
2022-01-10,91815000
2022-01-11,66063300
2022-01-12,83739000
2022-01-13,97209900
2022-01-14,72924300
2022-01-18,66743400
2022-01-19,75442500
2022-01-20,70488600
2022-01-21,103416000
2022-01-24,151565700
2022-01-25,86595900
2022-01-26,104867400
2022-01-27,147109500
2022-01-28,134789100
2022-01-31,104436000
2022-02-01,73138200
2022-02-02,66792900
2022-02-03,78855600
2022-02-04,73625400
2022-02-07,60994500
2022-02-08,50729100
2022-02-09,52259400
2022-02-10,66126900
2022-02-11,79645800
2022-02-14,67756500
2022-02-15,57286200
2022-02-16,51294300
2022-02-17,55178400
2022-02-18,68501700
2022-02-22,83288100
2022-02-23,95256900
2022-02-24,135322200
2022-02-25,76067700
2022-02-28,99006900
2022-03-01,74766900
2022-03-02,74643300
2022-03-03,61623600
2022-03-04,66999600
2022-03-07,72494100
2022-03-08,80399100
2022-03-09,59184000
2022-03-10,58648500
2022-03-11,67037100
2022-03-14,71152200
2022-03-15,66841200
2022-03-16,84028800
2022-03-17,66582900
2022-03-18,100414200
2022-03-21,81981600
2022-03-22,105868500
2022-03-23,120676200
2022-03-24,68920800
2022-03-25,62031600
2022-03-28,102506100
2022-03-29,73614900
2022-03-30,59865000
2022-03-31,48992700
2022-04-01,54263100
2022-04-04,82035900
2022-04-05,80075100
2022-04-06,89348400
2022-04-07,79447200
2022-04-08,55013700
2022-04-11,59357100
2022-04-12,65976000
2022-04-13,55121100
2022-04-14,58422300
2022-04-18,51715200
2022-04-19,49847700
2022-04-20,70711200
2022-04-21,105416400
2022-04-22,69696600
2022-04-25,68341200
2022-04-26,136133700
2022-04-27,76956300
2022-04-28,124948500
2022-04-29,88133100
2022-05-02,75781500
2022-05-03,63709500
2022-05-04,81643800
2022-05-05,92519100
2022-05-06,72903000
2022-05-09,90810300
2022-05-10,84401700
2022-05-11,97224600
2022-05-12,140313000
2022-05-13,92150700
2022-05-16,86098500
2022-05-17,80236200
2022-05-18,87811800
2022-05-19,90296700
2022-05-20,144973200
2022-05-23,88903500
2022-05-24,89092500
2022-05-25,92139300
2022-05-26,106003200
2022-05-27,89295000
2022-05-31,101914500
2022-06-01,77247900
2022-06-02,93473100
2022-06-03,112393800
2022-06-06,84204600
2022-06-07,72808500
2022-06-08,76210500
2022-06-09,96491400
2022-06-10,97536600
2022-06-13,102767400
2022-06-14,97988700
2022-06-15,119131800
2022-06-16,107390700
2022-06-17,92641800
2022-06-21,122793000
2022-06-22,101107500
2022-06-23,104202600
2022-06-24,95770800
2022-06-27,89178300
2022-06-28,90391200
2022-06-29,82897200
2022-06-30,94600500
2022-07-01,74460300
2022-07-05,84581100
2022-07-06,71853600
2022-07-07,81930600
2022-07-08,101854200
2022-07-11,99241200
2022-07-12,87930900
2022-07-13,97954500
2022-07-14,78557400
2022-07-15,69683100
2022-07-18,82537500
2022-07-19,80890200
2022-07-20,88864200
2022-07-21,142032300
2022-07-22,103472700
2022-07-25,64073400
2022-07-26,66820800
2022-07-27,88110000
2022-07-28,84723000
2022-07-29,95313000
2022-08-01,117042900
2022-08-02,95577600
2022-08-03,80091000
2022-08-04,72256200
2022-08-05,113172900
2022-08-08,98994000
2022-08-09,86244600
2022-08-10,94918800
2022-08-11,70155000
2022-08-12,79657200
2022-08-15,89359200
2022-08-16,88136400
2022-08-17,68766000
2022-08-18,47500500
2022-08-19,61395300
2022-08-22,55843200
2022-08-23,63984900
2022-08-24,57259800
2022-08-25,53230000
2022-08-26,57163900
2022-08-29,41864700
2022-08-30,50541800
2022-08-31,52107300
2022-09-01,54287000
2022-09-02,50890100
2022-09-06,55860000
2022-09-07,50028900
2022-09-08,53713100
2022-09-09,54338100
2022-09-12,48674600
2022-09-13,68229600
2022-09-14,72628700
2022-09-15,64795500
2022-09-16,87087800
2022-09-19,60231200
2022-09-20,61642800
2022-09-21,62555700
2022-09-22,70545400
2022-09-23,63748400
2022-09-26,58076900
2022-09-27,61925200
2022-09-28,54664800
2022-09-29,77620600
2022-09-30,67726600
2022-10-03,98363500
2022-10-04,109578500
2022-10-05,86982700
2022-10-06,69298400
2022-10-07,83916800
2022-10-10,67925000
2022-10-11,77013200
2022-10-12,66860700
2022-10-13,91483000
2022-10-14,94124500
2022-10-17,79428800
2022-10-18,75891900
2022-10-19,66571500
2022-10-20,117798100
2022-10-21,75713800
2022-10-24,100446800
2022-10-25,96507900
2022-10-26,85012500
2022-10-27,61638800
2022-10-28,69152400
2022-10-31,61554300
2022-11-01,62688800
2022-11-02,63070300
2022-11-03,56538800
2022-11-04,98622200
2022-11-07,93916500
2022-11-08,128803400
2022-11-09,127062700
2022-11-10,132703000
2022-11-11,114403600
2022-11-14,92226600
2022-11-15,91293800
2022-11-16,66567600
2022-11-17,64336000
2022-11-18,76048900
2022-11-21,92882700
2022-11-22,78452300
2022-11-23,109536700
2022-11-25,50672700
2022-11-28,92905200
2022-11-29,83357100
2022-11-30,109186400
2022-12-01,80046200
2022-12-02,73645900
2022-12-05,93122700
2022-12-06,92150800
2022-12-07,84213300
2022-12-08,97624500
2022-12-09,104872300
2022-12-12,109794500
2022-12-13,175862700
2022-12-14,140682300
2022-12-15,122334500
2022-12-16,139032200
2022-12-19,139390600
2022-12-20,159563300
2022-12-21,145417400
2022-12-22,210090300
2022-12-23,166989700
2022-12-27,208643400
2022-12-28,221070500
2022-12-29,221923300
2022-12-30,157777300
2023-01-03,231402800
2023-01-04,180389000
2023-01-05,157986300
2023-01-06,220911100
2023-01-09,190284000
2023-01-10,167642500
2023-01-11,183810800
2023-01-12,169400900
2023-01-13,180714100
2023-01-17,186477000
2023-01-18,195680300
2023-01-19,170291900
2023-01-20,138858100
2023-01-23,203119200
2023-01-24,158699100
2023-01-25,192734300
2023-01-26,234815100
2023-01-27,306590600
2023-01-30,230878800
2023-01-31,196813500
2023-02-01,213806300
2023-02-02,217448300
2023-02-03,232662000
2023-02-06,186188100
2023-02-07,186010300
2023-02-08,180673600
2023-02-09,215431400
2023-02-10,204754100
2023-02-13,172475500
2023-02-14,216455700
2023-02-15,181006400
2023-02-16,229586500
2023-02-17,213738500
2023-02-21,180018600
2023-02-22,191828500
2023-02-23,146360000
2023-02-24,142228100
2023-02-27,161028300
2023-02-28,153144900
2023-03-01,156852800
2023-03-02,181500700
2023-03-03,154193300
2023-03-06,128100100
2023-03-07,148125800
2023-03-08,151897800
2023-03-09,170023800
2023-03-10,191488900
2023-03-13,167790300
2023-03-14,143717900
2023-03-15,145995600
2023-03-16,121136800
